     #Energy   up_Fe_dz2   dw_Fe_dz2
   -17.53831     0.00013    -0.00015
   -17.52531     0.00086    -0.00092
   -17.51131     0.00378    -0.00371
   -17.49831     0.01120    -0.01018
   -17.48431     0.02248    -0.01892
   -17.47131     0.03058    -0.02380
   -17.45731     0.02819    -0.02030
   -17.44431     0.01760    -0.01172
   -17.43031     0.00745    -0.00459
   -17.41731     0.00213    -0.00121
   -17.40331     0.00041    -0.00022
   -17.39031     0.00005    -0.00003
   -17.37631     0.00000    -0.00000
   -17.36331     0.00000    -0.00000
   -17.35031     0.00000    -0.00000
   -17.33631     0.00000    -0.00000
   -17.32331     0.00000    -0.00000
   -17.30931     0.00000    -0.00000
   -17.29631     0.00000    -0.00000
   -17.28231     0.00000    -0.00000
   -17.26931     0.00000    -0.00000
   -17.25531     0.00000    -0.00000
   -17.24231     0.00000    -0.00000
   -17.22831     0.00000    -0.00000
   -17.21531     0.00000    -0.00000
   -17.20131     0.00000    -0.00000
   -17.18831     0.00000    -0.00000
   -17.17531     0.00000    -0.00000
   -17.16131     0.00000    -0.00000
   -17.14831     0.00000    -0.00000
   -17.13431     0.00000    -0.00000
   -17.12131     0.00000    -0.00000
   -17.10731     0.00000    -0.00000
   -17.09431     0.00000    -0.00000
   -17.08031     0.00000    -0.00000
   -17.06731     0.00000    -0.00000
   -17.05331     0.00000    -0.00000
   -17.04031     0.00000    -0.00000
   -17.02731     0.00000    -0.00000
   -17.01331     0.00000    -0.00000
   -17.00031     0.00000    -0.00000
   -16.98631     0.00000    -0.00000
   -16.97331     0.00000    -0.00000
   -16.95931     0.00000    -0.00000
   -16.94631     0.00000    -0.00000
   -16.93231     0.00000    -0.00000
   -16.91931     0.00000    -0.00000
   -16.90531     0.00000    -0.00000
   -16.89231     0.00000    -0.00000
   -16.87831     0.00000    -0.00000
   -16.86531     0.00000    -0.00000
   -16.85231     0.00000    -0.00000
   -16.83831     0.00000    -0.00000
   -16.82531     0.00000    -0.00000
   -16.81131     0.00000    -0.00000
   -16.79831     0.00000    -0.00000
   -16.78431     0.00000    -0.00000
   -16.77131     0.00000    -0.00000
   -16.75731     0.00000    -0.00000
   -16.74431     0.00000    -0.00000
   -16.73031     0.00000    -0.00000
   -16.71731     0.00000    -0.00000
   -16.70331     0.00000    -0.00000
   -16.69031     0.00000    -0.00000
   -16.67731     0.00000    -0.00000
   -16.66331     0.00000    -0.00000
   -16.65031     0.00000    -0.00000
   -16.63631     0.00000    -0.00000
   -16.62331     0.00000    -0.00000
   -16.60931     0.00000    -0.00000
   -16.59631     0.00000    -0.00000
   -16.58231     0.00000    -0.00000
   -16.56931     0.00000    -0.00000
   -16.55531     0.00000    -0.00000
   -16.54231     0.00000    -0.00000
   -16.52831     0.00000    -0.00000
   -16.51531     0.00000    -0.00000
   -16.50231     0.00000    -0.00000
   -16.48831     0.00000    -0.00000
   -16.47531     0.00000    -0.00000
   -16.46131     0.00000    -0.00000
   -16.44831     0.00000    -0.00000
   -16.43431     0.00000    -0.00000
   -16.42131     0.00000    -0.00000
   -16.40731     0.00000     0.00000
   -16.39431     0.00000     0.00000
   -16.38031     0.00000     0.00000
   -16.36731     0.00000     0.00000
   -16.35431     0.00000     0.00000
   -16.34031     0.00000     0.00000
   -16.32731     0.00000     0.00000
   -16.31331     0.00000     0.00000
   -16.30031     0.00000    -0.00000
   -16.28631     0.00000    -0.00000
   -16.27331     0.00000    -0.00000
   -16.25931     0.00000    -0.00000
   -16.24631     0.00000    -0.00000
   -16.23231     0.00000    -0.00000
   -16.21931     0.00000    -0.00000
   -16.20531     0.00002    -0.00001
   -16.19231     0.00013    -0.00006
   -16.17931     0.00072    -0.00034
   -16.16531     0.00271    -0.00137
   -16.15231     0.00690    -0.00375
   -16.13831     0.01190    -0.00695
   -16.12531     0.01389    -0.00873
   -16.11131     0.01099    -0.00743
   -16.09831     0.00589    -0.00428
   -16.08431     0.00214    -0.00167
